time,BH1x,BH1y,BH1z,L1x,L1y,L1z,BH2x,BH2y,BH2z,L2x,L2y,L2z
0.0,4.988305662547382,0.0,0,0,-2,1,-4.988305662547382,-0.0,0,0,2,1,
2.0,4.980319711574069,0.27844310010214346,0,0,-2,1,-4.980319711574069,-0.27844310010214346,0,0,2,1,
4.0,4.956800740753966,0.5559942870746636,0,0,-2,1,-4.956800740753966,-0.5559942870746636,0,0,2,1,
6.0,4.917823408976576,0.8317875687643239,0,0,-2,1,-4.917823408976576,-0.8317875687643239,0,0,2,1,
8.0,4.863510626597721,1.1049625041759532,0,0,-2,1,-4.863510626597721,-1.1049625041759532,0,0,2,1,
10.0,4.7940331687640345,1.3746668903177635,0,0,-2,1,-4.7940331687640345,-1.3746668903177635,0,0,2,1,
12.0,4.709609139215653,1.6400594232083066,0,0,-2,1,-4.709609139215653,-1.6400594232083066,0,0,2,1,
14.0,4.610503286244449,1.900312324729602,0,0,-2,1,-4.610503286244449,-1.900312324729602,0,0,2,1,
16.0,4.497026172947334,2.1546139271175475,0,0,-2,1,-4.497026172947334,-2.1546139271175475,0,0,2,1,
18.0,4.369533204369609,2.4021712070129744,0,0,-2,1,-4.369533204369609,-2.4021712070129744,0,0,2,1,
20.0,4.228423514580747,2.642212261154232,0,0,-2,1,-4.228423514580747,-2.642212261154232,0,0,2,1,
22.0,4.074138717162903,2.873988715974442,0,0,-2,1,-4.074138717162903,-2.873988715974442,0,0,2,1,
24.0,3.907161523019494,3.096778063573048,0,0,-2,1,-3.907161523019494,-3.096778063573048,0,0,2,1,
26.0,3.728014229826068,3.3098859167613024,0,0,-2,1,-3.728014229826068,-3.3098859167613024,0,0,2,1,
28.0,3.537257087847035,3.5126481761342134,0,0,-2,1,-3.537257087847035,-3.5126481761342134,0,0,2,1,
30.0,3.3354865472284776,3.7044331023963606,0,0,-2,1,-3.3354865472284776,-3.7044331023963606,0,0,2,1,
32.0,3.1233333922479214,3.8846432874651216,0,0,-2,1,-3.1233333922479214,-3.8846432874651216,0,0,2,1,
34.0,2.9014607683554936,4.052717518191209,0,0,-2,1,-2.9014607683554936,-4.052717518191209,0,0,2,1,
36.0,2.6705621081762447,4.208132526872087,0,0,-2,1,-2.6705621081762447,-4.208132526872087,0,0,2,1,
38.0,2.4313589629594548,4.35040462308771,0,0,-2,1,-2.4313589629594548,-4.35040462308771,0,0,2,1,
40.0,2.1845987462565155,4.479091201759047,0,0,-2,1,-2.1845987462565155,-4.479091201759047,0,0,2,1,
42.0,1.931052396883643,4.593792122716882,0,0,-2,1,-1.931052396883643,-4.593792122716882,0,0,2,1,
44.0,1.6715119684781379,4.69415095747006,0,0,-2,1,-1.6715119684781379,-4.69415095747006,0,0,2,1,
46.0,1.4067881531866688,4.779856099277685,0,0,-2,1,-1.4067881531866688,-4.779856099277685,0,0,2,1,
48.0,1.137707747230193,4.850641733057181,0,0,-2,1,-1.137707747230193,-4.850641733057181,0,0,2,1,
50.0,0.8651110662720062,4.906288662098518,0,0,-2,1,-0.8651110662720062,-4.906288662098518,0,0,2,1,
52.0,0.5898493186725914,4.946624989002726,0,0,-2,1,-0.5898493186725914,-4.946624989002726,0,0,2,1,
54.0,0.3127819448467926,4.971526648718755,0,0,-2,1,-0.3127819448467926,-4.971526648718755,0,0,2,1,
56.0,0.03477393104497821,4.98091779201543,0,0,-2,1,-0.03477393104497821,-4.98091779201543,0,0,2,1,
